Taxa	Trait
Strain_001	171.305699965263
Strain_002	122.96528307934
Strain_003	113.209553752284
Strain_004	249.413369927832
Strain_005	244.282598811166
Strain_006	230.499196528048
Strain_007	138.614055692241
Strain_008	177.633350831923
Strain_009	111.281189092138
Strain_010	243.031573260457
Strain_011	243.405023011095
Strain_012	230.964276932787
Strain_013	113.315223362427
Strain_014	223.506239818549
Strain_015	212.128539019857
Strain_016	139.191963621707
Strain_017	126.746845456968
Strain_018	111.28087701571
Strain_019	223.219863185161
Strain_020	111.823638633108
Strain_021	239.984263101299
Strain_022	101.071446978301
Strain_023	235.052259370786
Strain_024	119.355940969994
Strain_025	217.639544470515
Strain_026	226.980258882349
Strain_027	111.77081655949
Strain_028	245.266484000438
Strain_029	116.814097892194
Strain_030	206.982136352807
Strain_031	256.023554866654
Strain_032	144.438342267295
Strain_033	151.235007800133
Strain_034	118.649637747602
Strain_035	126.801270648136
Strain_036	136.925523618288
Strain_037	135.306593445657
Strain_038	118.952540091552
Strain_039	241.311863202033
Strain_040	145.954727594366
Strain_041	248.062298637116
Strain_042	274.919037133836
Strain_043	218.888079199412
Strain_044	113.773416201053
Strain_045	126.996692849206
Strain_046	245.108289783826
Strain_047	108.462552516178
Strain_048	128.003106512328
Strain_049	237.807570769231
Strain_050	154.565247081997
Strain_051	133.889025874287
Strain_052	240.438959574254
Strain_053	71.9037475837368
Strain_054	232.581366159782
Strain_055	107.408716557416
Strain_056	226.006748127713
Strain_057	223.79054195281
Strain_058	175.211782005443
Strain_059	261.055839969335
Strain_060	198.578611199783
Strain_061	237.526512562674
Strain_062	254.959879923851
Strain_063	223.011963400286
Strain_064	190.266012396802
Strain_065	104.01869014854
Strain_066	131.805465218627
Strain_067	251.825204717186
Strain_068	228.399672000468
Strain_069	115.865022601063
Strain_070	230.170790845845
Strain_071	238.857116983897
Strain_072	138.063773530795
Strain_073	125.27620843482
Strain_074	111.450027175319
Strain_075	112.724698905489
Strain_076	145.945033351778
Strain_077	237.006643725233
Strain_078	229.428373521563
Strain_079	148.138503082872
Strain_080	130.33155731868
Strain_081	153.754674057019
Strain_082	230.913978012079
Strain_083	222.868346540397
Strain_084	117.82535765407
Strain_085	105.133404303229
Strain_086	204.215552359736
Strain_087	222.792464357618
Strain_088	104.15868288047
Strain_089	147.91790576422
Strain_090	218.96003868797
Strain_091	137.184309797074
Strain_092	246.861612529564
Strain_093	170.611532900086
Strain_094	146.499870759133
Strain_095	126.784969446517
Strain_096	116.233848934899
Strain_097	124.44542310971
Strain_098	235.826046131569
Strain_099	85.0978239410989
Strain_100	235.170392997275
Strain_101	225.272184047884
Strain_102	113.147321038087
Strain_103	114.581787315802
Strain_104	204.038767023897
Strain_105	126.994017417977
Strain_106	86.43485881497
Strain_107	240.593322215404
Strain_108	209.933342295172
Strain_109	152.544146758805
Strain_110	97.4836194933812
Strain_111	96.985468956423
Strain_112	227.605290322463
Strain_113	248.845687497102
Strain_114	103.846741878533
Strain_115	112.494302132195
Strain_116	253.48223942391
Strain_117	244.557230923057
Strain_118	131.695047492323
Strain_119	235.574653498132
Strain_120	133.685079574155
Strain_121	101.437126401837
Strain_122	184.742086293143
Strain_123	245.97362518119
Strain_124	219.570677089907
Strain_125	210.092312310814
Strain_126	149.378623542154
Strain_127	232.972502865731
Strain_128	248.918684023266
Strain_129	111.33924027778
Strain_130	241.903876363343
Strain_131	112.248929525433
Strain_132	124.556740618247
Strain_133	237.530954785912
Strain_134	93.2720505819672
Strain_135	230.326078727144
Strain_136	248.890427992447
Strain_137	128.755906163
Strain_138	262.521140318463
Strain_139	132.723367541867
Strain_140	216.171118708348
Strain_141	230.408112054167
Strain_142	204.849944812467
Strain_143	239.278881220482
Strain_144	241.405370380184
Strain_145	246.654093094959
Strain_146	148.822143236576
Strain_147	122.320743235532
Strain_148	249.034042299718
Strain_149	118.881250372118
Strain_150	140.268528093553
Strain_151	123.451368701781
Strain_152	103.334222397352
Strain_153	237.171370600555
Strain_154	164.694103576901
Strain_155	114.597684114902
Strain_156	112.550121189781
Strain_157	217.68864428142
Strain_158	251.494278766033
Strain_159	133.045976998473
Strain_160	107.443683689783
Strain_161	115.244538994926
Strain_162	123.000602088464
Strain_163	117.401541739059
Strain_164	252.895344853725
Strain_165	254.355805761886
Strain_166	206.662116966862
Strain_167	136.339376288709
Strain_168	213.474620325638
Strain_169	104.30839811027
Strain_170	258.424287465966
Strain_171	114.411036101416
Strain_172	117.648651439419
Strain_173	93.8961608444752
Strain_174	244.863808589287
Strain_175	231.832797839331
Strain_176	101.40033462267
Strain_177	192.292056927976
Strain_178	220.350732632537
Strain_179	112.996571223679
Strain_180	239.75876827337
Strain_181	243.780795304099
Strain_182	235.077833228338
Strain_183	236.676186331714
Strain_184	258.394461901688
Strain_185	126.606661822516
Strain_186	148.409713689244
Strain_187	101.256044512387
Strain_188	120.826367909731
Strain_189	111.524122232777
Strain_190	153.779135494966
Strain_191	250.452673083654
Strain_192	120.028796031897
Strain_193	230.263601818481
Strain_194	220.615272300006
Strain_195	173.664637830338
Strain_196	111.769272846428
Strain_197	103.937769915286
Strain_198	140.858657723495
Strain_199	142.346373915411
Strain_200	118.569647748761
