progeny_strain	batch	spore_area	optical_density
Strain_001	Batch_3	50.734165	58.445507
Strain_002	Batch_3	50.593048	58.862675
Strain_003	Batch_3	52.75389	56.483562
Strain_004	Batch_2	50.154778	60.797996
Strain_005	Batch_3	55.718074	55.434797
Strain_006	Batch_2	47.648769	62.325168
Strain_007	Batch_2	49.351212	66.069252
Strain_008	Batch_2	49.441291	62.895064
Strain_009	Batch_3	53.684037	63.279864
Strain_010	Batch_1	49.665785	56.604139
Strain_011	Batch_2	49.338779	55.794097
Strain_012	Batch_2	45.147613	61.180111
Strain_013	Batch_1	42.883417	61.347945
Strain_014	Batch_2	NA	NA
Strain_015	Batch_3	53.199547	59.261689
Strain_016	Batch_1	49.881676	60.563468
Strain_017	Batch_3	53.523368	59.174823
Strain_018	Batch_3	51.627938	60.626002
Strain_019	Batch_1	53.982313	57.780263
Strain_020	Batch_1	49.611778	65.920411
Strain_021	Batch_1	47.17384	61.893129
Strain_022	Batch_1	46.472895	62.28966
Strain_023	Batch_3	46.910844	57.406011
Strain_024	Batch_2	49.380076	59.201629
Strain_025	Batch_3	53.899652	60.427466
Strain_026	Batch_2	50.332454	55.679369
Strain_027	Batch_1	47.716819	67.10282
Strain_028	Batch_2	52.867824	56.61436
Strain_029	Batch_3	47.105354	62.815671
Strain_030	Batch_2	47.2085	60.922849
Strain_031	Batch_1	49.720919	60.206757
Strain_032	Batch_3	51.978868	60.286603
Strain_033	Batch_3	48.532714	58.622078
Strain_034	Batch_1	57.702934	61.886484
Strain_035	Batch_3	54.742369	59.036102
Strain_036	Batch_2	52.97403	50.650806
Strain_037	Batch_1	47.887053	65.4728
Strain_038	Batch_3	46.287625	54.077321
Strain_039	Batch_1	49.249152	58.239872
Strain_040	Batch_1	51.216897	60.527185
Strain_041	Batch_2	48.274949	58.520378
Strain_042	Batch_3	49.185783	57.560079
Strain_043	Batch_3	55.170204	59.467382
Strain_044	Batch_1	50.879124	58.822418
Strain_045	Batch_3	53.58585	63.809806
Strain_046	Batch_1	47.024728	62.510748
Strain_047	Batch_3	53.702218	56.659698
Strain_048	Batch_2	45.439538	53.892423
Strain_049	Batch_1	53.985654	56.562225
Strain_050	Batch_2	55.223859	61.001237
Strain_051	Batch_1	49.888591	61.657386
Strain_052	Batch_1	50.343043	63.822056
Strain_053	Batch_3	51.133914	63.364541
Strain_054	Batch_1	53.879318	60.714003
Strain_055	Batch_2	48.934115	61.776526
Strain_056	Batch_1	51.504051	60.837635
Strain_057	Batch_1	45.270894	63.596205
Strain_058	Batch_3	50.627896	58.348728
Strain_059	Batch_1	51.889057	63.751993
Strain_060	Batch_2	51.123707	62.376741
Strain_061	Batch_1	55.984524	58.515713
Strain_062	Batch_3	55.28572	59.3029
Strain_063	Batch_1	44.807239	60.450646
Strain_064	Batch_3	50.081985	63.442191
Strain_065	Batch_2	46.585194	61.949034
Strain_066	Batch_3	51.118566	62.768461
Strain_067	Batch_2	55.384628	59.243958
Strain_068	Batch_2	47.184175	61.009263
Strain_069	Batch_3	52.994154	64.581079
Strain_070	Batch_2	49.658965	63.770119
Strain_071	Batch_2	52.998239	57.540874
Strain_072	Batch_3	45.768849	55.136139
Strain_073	Batch_3	54.060325	57.396454
Strain_074	Batch_1	49.371657	58.724422
Strain_075	Batch_2	55.859732	58.819792
Strain_076	Batch_2	53.571201	56.569674
Strain_077	Batch_1	57.702147	58.721308
Strain_078	Batch_2	56.161896	60.883289
Strain_079	Batch_1	54.293942	58.598098
Strain_080	Batch_1	50.503187	57.130824
Strain_081	Batch_2	48.932777	58.101026
Strain_082	Batch_3	51.692743	63.419592
Strain_083	Batch_3	48.961134	57.840487
Strain_084	Batch_1	53.783473	59.222812
Strain_085	Batch_2	52.052468	59.445269
Strain_086	Batch_1	52.568227	57.043271
Strain_087	Batch_2	50.402185	59.698869
Strain_088	Batch_1	47.911131	59.927495
Strain_089	Batch_3	50.224361	62.248992
Strain_090	Batch_3	52.099939	63.779985
Strain_091	Batch_2	NA	NA
Strain_092	Batch_3	50.170581	59.916997
Strain_093	Batch_1	53.526592	57.168174
Strain_094	Batch_2	49.101855	57.217708
Strain_095	Batch_2	52.985591	65.528518
Strain_096	Batch_3	55.768886	57.195712
Strain_097	Batch_2	47.222064	55.776455
Strain_098	Batch_1	50.762192	62.288629
Strain_099	Batch_3	53.279077	64.935443
Strain_100	Batch_3	54.805638	65.101588
Strain_101	Batch_3	49.162091	58.340363
Strain_102	Batch_2	45.354702	54.522508
Strain_103	Batch_2	44.815938	63.682916
Strain_104	Batch_3	52.14333	57.94106
Strain_105	Batch_1	54.791729	61.682914
Strain_106	Batch_1	53.879237	63.821987
Strain_107	Batch_3	50.707646	61.811572
Strain_108	Batch_2	50.468226	58.816062
Strain_109	Batch_2	47.450065	54.416888
Strain_110	Batch_2	52.825036	60.35845
Strain_111	Batch_2	52.108187	61.714645
Strain_112	Batch_2	52.724949	56.191684
Strain_113	Batch_2	46.674901	57.150339
Strain_114	Batch_3	49.246657	62.564086
Strain_115	Batch_2	40.800634	60.170257
Strain_116	Batch_1	52.188769	60.268417
Strain_117	Batch_2	52.300018	62.149081
Strain_118	Batch_2	NA	NA
Strain_119	Batch_2	45.558718	60.55385
Strain_120	Batch_3	53.987182	59.833513
Strain_121	Batch_2	54.153683	58.509696
Strain_122	Batch_3	48.610336	63.415571
Strain_123	Batch_2	47.628288	61.070274
Strain_124	Batch_3	50.618638	60.630305
Strain_125	Batch_1	51.995622	59.19451
Strain_126	Batch_3	50.307362	61.011311
Strain_127	Batch_3	53.818717	61.553611
Strain_128	Batch_3	52.931835	61.626314
Strain_129	Batch_1	50.646953	53.982464
Strain_130	Batch_3	55.535465	61.120355
Strain_131	Batch_3	51.441796	58.636564
Strain_132	Batch_2	52.745789	63.397209
