progeny_strain	spore_area	optical_density	batch
L1K3	24.61639813	79.1200	June1st
L1K7	56.193294	31.7229	June1st
L1K8	35.95056057	68.6192	June1st
L1K10	35.8850745	67.4304	June1st
L1K11	12.84735722	48.3935	June1st
L1M1	34.8063725	56.7639	June1st
L1M3	31.04452214	43.2663	June1st
L1M4	30.02158042	74.0163	June1st
L1M5	19.33623621	50.4078	June1st
L1M9	15.91056587	33.3955	June1st
L1M10	37.77272341	53.0651	June1st
L1M11	52.95465705	53.6502	June1st
L1M12	50.36852408	69.2918	June1st
L1C1	45.09995319	81.3083	June1st
L1C2	25.95204255	83.2337	June1st
L1C4	25.53518465	80.4693	June1st
L1C5	52.12419795	40.6332	June1st
L1C6	34.41375358	62.9251	June1st
L1C7	45.8737372	74.1470	June1st
L1C8	25.53603548	32.1278	June1st
L1C9	46.54993359	37.4587	June1st
L1C11	48.05379234	82.3630	June1st
L1C12	29.91589901	40.5496	June1st
L1D2	69.19700376	69.3582	June1st
L1D3	85.18224738	63.4513	June1st
L1D4	32.24555802	46.7508	June1st
L1D5	17.30679217	31.6882	June1st
L1D6	19.27220997	78.8938	June1st
L1D8	29.35706948	74.4815	June1st
L1D9	28.92256527	67.5171	June1st
L1D11	21.92993076	50.1804	June1st
L1D12	21.8888171	45.9599	June1st
L1E1	20.15227788	75.9108	June1st
L1E6	33.88325778	39.5994	June1st
L1E7	32.9942643	81.9979	June1st
L1E8	25.0936461	64.9854	June1st
L1E9	42.65853807	37.3894	June1st
L1E11	28.76168793	77.3577	June1st
L1F1	47.88895092	31.5358	June1st
L1F2	23.169171	79.7987	June1st
L1F3	29.07253146	77.8807	June1st
L1F4	72.60398577	59.9088	June1st
L1F5	22.56771386	86.8216	June1st
L1F7	26.26750901	53.1494	June1st
L1F8	32.59320292	32.0958	June1st
L1G3	23.43448441	37.4253	June1st
L1G4	32.01959367	39.0632	June1st
L1G5	17.32822158	71.0167	June1st
L1G6	28.42129182	88.7809	June1st
L1G7	74.99807498	89.9792	June1st
L1G9	64.53610012	39.0739	June1st
L1G10	59.85916331	86.4700	June1st
L1G11	30.15118767	45.0779	June1st
L1H2	21.93049134	49.4738	June1st
L1H3	67.828458	68.6075	June1st
L1H5	56.13716329	47.9687	June1st
L1H6	30.89322118	76.3249	June1st
L1H7	36.32051281	64.1835	June1st
L1H8	51.40649293	36.4998	June1st
L1H9	60.17291403	43.3802	June1st
L1H10	53.57080978	70.5412	June1st
L1H11	54.56187237	36.5296	June1st
L2K3	29.12377662	31.2927	June8th
L2K7	36.42899342	32.8262	June8th
L2K8	33.52069564	70.5411	June8th
L2K10	21.01831739	79.1745	June8th
L2K11	21.11188989	82.9860	June8th
L2M1	50.87321442	88.4053	June8th
L2M2	17.72652684	78.8278	June8th
L2M3	31.07839986	42.3447	June8th
L2M4	24.06776454	37.7319	June8th
L2M5	15.6295206	38.7559	June8th
L2M6	28.20788281	38.4189	June8th
L2M7	19.12132606	75.8124	June8th
L2M8	16.39734985	45.4418	June8th
L2M9	25.89155293	86.2786	June8th
L2M10	24.34021079	87.9560	June8th
L2M11	26.91730305	78.3707	June8th
L2C2	37.80564076	83.9410	June8th
L2C3	32.24998689	68.6352	June8th
L2C5	42.36673566	73.8772	June8th
L2C6	48.68838914	48.6959	June8th
L2C7	40.25408632	67.1756	June8th
L2C8	23.08127942	35.8852	June8th
L2C9	27.84944934	60.8593	June8th
L2C10	36.66150035	66.9330	June8th
L2D2	20.80099466	52.0346	June8th
