progeny_strain	trait	BLUP	OverallMean	MeanAdj_BLUP
L1C1	spore_area	-0.278916	37.840345	37.561429
L1C10	spore_area	0.068405	37.840345	37.90875
L1C11	spore_area	-0.005393	37.840345	37.834952
L1C12	spore_area	0.167876	37.840345	38.008221
L1C2	spore_area	-0.281643	37.840345	37.558702
L1C4	spore_area	-0.274402	37.840345	37.565943
L1C5	spore_area	-0.185252	37.840345	37.655093
L1C6	spore_area	-0.34627	37.840345	37.494075
L1C7	spore_area	-0.18387	37.840345	37.656475
L1C8	spore_area	-0.341332	37.840345	37.499013
L1C9	spore_area	-0.022491	37.840345	37.817854
L1D11	spore_area	-0.128654	37.840345	37.711691
L1D12	spore_area	-0.128985	37.840345	37.71136
L1D2	spore_area	0.251428	37.840345	38.091773
L1D3	spore_area	0.379968	37.840345	38.220313
L1D4	spore_area	-0.045704	37.840345	37.794641
L1D5	spore_area	-0.165829	37.840345	37.674515
L1D6	spore_area	-0.150025	37.840345	37.69032
L1D8	spore_area	-0.068931	37.840345	37.771414
L1D9	spore_area	-0.072425	37.840345	37.76792
L1E1	spore_area	-0.142948	37.840345	37.697397
L1E11	spore_area	-0.073719	37.840345	37.766626
L1E6	spore_area	-0.032535	37.840345	37.80781
L1E7	spore_area	-0.039684	37.840345	37.800661
L1E8	spore_area	-0.103214	37.840345	37.737131
L1E9	spore_area	0.038028	37.840345	37.878373
L1F1	spore_area	0.080087	37.840345	37.920432
L1F2	spore_area	-0.118689	37.840345	37.721656
L1F3	spore_area	-0.071219	37.840345	37.769126
L1F4	spore_area	0.278824	37.840345	38.119169
L1F5	spore_area	-0.123525	37.840345	37.716819
L1F7	spore_area	-0.093775	37.840345	37.74657
L1F8	spore_area	-0.042909	37.840345	37.797436
L1G10	spore_area	0.176341	37.840345	38.016686
L1G11	spore_area	-0.062545	37.840345	37.777799
L1G3	spore_area	-0.116556	37.840345	37.723789
L1G4	spore_area	-0.047521	37.840345	37.792824
L1G5	spore_area	-0.165657	37.840345	37.674688
L1G6	spore_area	-0.076456	37.840345	37.763889
L1G7	spore_area	0.298076	37.840345	38.138421
L1G9	spore_area	0.213949	37.840345	38.054294
L1H10	spore_area	0.125776	37.840345	37.96612
L1H11	spore_area	0.133745	37.840345	37.97409
L1H2	spore_area	-0.128649	37.840345	37.711695
L1H3	spore_area	0.240424	37.840345	38.080769
L1H5	spore_area	0.146412	37.840345	37.986757
L1H6	spore_area	-0.056579	37.840345	37.783766
L1H7	spore_area	-0.012937	37.840345	37.827408
L1H8	spore_area	0.108372	37.840345	37.948717
L1H9	spore_area	0.178864	37.840345	38.019209
L1K10	spore_area	0.471752	37.840345	38.312097
L1K11	spore_area	0.091714	37.840345	37.932059
L1K3	spore_area	0.535742	37.840345	38.376087
L1K7	spore_area	0.402309	37.840345	38.242654
L1K8	spore_area	0.325771	37.840345	38.166115
L1M1	spore_area	-0.122437	37.840345	37.717908
L1M10	spore_area	0.081989	37.840345	37.922334
L1M11	spore_area	0.24338	37.840345	38.083724
L1M12	spore_area	-0.115084	37.840345	37.725261
L1M3	spore_area	0.663356	37.840345	38.503701
L1M4	spore_area	-0.073869	37.840345	37.766476
L1M5	spore_area	-0.092706	37.840345	37.747639
L1M8	spore_area	0.11602	37.840345	37.956365
L1M9	spore_area	-0.651562	37.840345	37.188782
L2C10	spore_area	0.040725	37.840345	37.88107
L2C2	spore_area	0.049925	37.840345	37.89027
L2C3	spore_area	0.005251	37.840345	37.845596
L2C5	spore_area	0.086602	37.840345	37.926947
L2C6	spore_area	0.137435	37.840345	37.97778
L2C7	spore_area	0.069614	37.840345	37.909959
L2C8	spore_area	-0.068476	37.840345	37.771869
L2C9	spore_area	-0.030134	37.840345	37.810211
L2D11	spore_area	0.114255	37.840345	37.954599
L2D12	spore_area	0.010243	37.840345	37.850587
L2D2	spore_area	-0.086812	37.840345	37.753533
L2D3	spore_area	-0.026139	37.840345	37.814206
L2D4	spore_area	-0.101471	37.840345	37.738874
L2D5	spore_area	-0.11021	37.840345	37.730135
L2D6	spore_area	-0.104257	37.840345	37.736088
L2D7	spore_area	-0.078786	37.840345	37.761559
L2D8	spore_area	0.155605	37.840345	37.99595
L2E10	spore_area	-0.018099	37.840345	37.822245
L2E11	spore_area	0.150125	37.840345	37.990469
L2E2	spore_area	-0.085337	37.840345	37.755007
L2E3	spore_area	0.026451	37.840345	37.866795
L2E6	spore_area	-0.019067	37.840345	37.821278
L2E7	spore_area	0.007293	37.840345	37.847638
L2E8	spore_area	0.079151	37.840345	37.919496
L2E9	spore_area	-0.032719	37.840345	37.807626
L2F10	spore_area	0.193616	37.840345	38.03396
L2F11	spore_area	-0.061245	37.840345	37.7791
L2F12	spore_area	0.001517	37.840345	37.841862
