progeny_strain	trait	BLUP	OverallMean	MeanAdj_BLUP
Strain_001	optical_density	-0.959254	60.152174	59.192921
Strain_002	optical_density	-0.780459	60.152174	59.371715
Strain_003	optical_density	-2.235572	60.152174	57.916603
Strain_004	optical_density	-0.071533	60.152174	60.080641
Strain_005	optical_density	-2.845269	60.152174	57.306906
Strain_006	optical_density	1.81276	60.152174	61.964934
Strain_007	optical_density	3.476283	60.152174	63.628457
Strain_008	optical_density	3.495267	60.152174	63.647442
Strain_009	optical_density	1.04855	60.152174	61.200725
Strain_010	optical_density	-0.153645	60.152174	59.998529
Strain_011	optical_density	-2.667653	60.152174	57.484521
Strain_012	optical_density	1.98314	60.152174	62.135314
Strain_013	optical_density	0.154152	60.152174	60.306326
Strain_014	optical_density	-0.272706	60.152174	59.879468
Strain_015	optical_density	-1.826861	60.152174	58.325313
Strain_016	optical_density	-1.010862	60.152174	59.141312
Strain_017	optical_density	-2.173679	60.152174	57.978495
Strain_018	optical_density	-0.548678	60.152174	59.603496
Strain_019	optical_density	-0.823425	60.152174	59.32875
Strain_020	optical_density	3.681357	60.152174	63.833532
Strain_021	optical_density	0.549039	60.152174	60.701213
Strain_022	optical_density	0.466326	60.152174	60.618501
Strain_023	optical_density	-0.753425	60.152174	59.398749
Strain_024	optical_density	-0.010667	60.152174	60.141507
Strain_025	optical_density	-0.436459	60.152174	59.715716
Strain_026	optical_density	-2.212258	60.152174	57.939917
Strain_027	optical_density	3.547965	60.152174	63.70014
Strain_028	optical_density	-2.65129	60.152174	57.500885
Strain_029	optical_density	2.140898	60.152174	62.293073
Strain_030	optical_density	0.904501	60.152174	61.056676
Strain_031	optical_density	1.204776	60.152174	61.356951
Strain_032	optical_density	-2.076621	60.152174	58.075554
Strain_033	optical_density	-0.06058	60.152174	60.091595
Strain_034	optical_density	-1.205483	60.152174	58.946691
Strain_035	optical_density	-1.44714	60.152174	58.705034
Strain_036	optical_density	-3.654792	60.152174	56.497382
Strain_037	optical_density	3.541967	60.152174	63.694141
Strain_038	optical_density	-2.562855	60.152174	57.589319
Strain_039	optical_density	-1.025513	60.152174	59.126661
Strain_040	optical_density	0.760283	60.152174	60.912458
Strain_041	optical_density	-0.375166	60.152174	59.777009
Strain_042	optical_density	-2.504366	60.152174	57.647808
Strain_043	optical_density	-3.110783	60.152174	57.041392
Strain_044	optical_density	-0.715578	60.152174	59.436596
Strain_045	optical_density	3.254578	60.152174	63.406752
Strain_046	optical_density	2.186307	60.152174	62.338482
Strain_047	optical_density	-2.261978	60.152174	57.890197
Strain_048	optical_density	-3.485686	60.152174	56.666488
Strain_049	optical_density	-1.943199	60.152174	58.208975
Strain_050	optical_density	1.195299	60.152174	61.347473
Strain_051	optical_density	-0.123727	60.152174	60.028447
Strain_052	optical_density	-2.22724	60.152174	57.924935
Strain_053	optical_density	2.245454	60.152174	62.397628
Strain_054	optical_density	1.195877	60.152174	61.348051
Strain_055	optical_density	0.255451	60.152174	60.407625
Strain_056	optical_density	0.711425	60.152174	60.8636
Strain_057	optical_density	0.895361	60.152174	61.047536
Strain_058	optical_density	-2.111845	60.152174	58.040329
