progeny_strain	trait	BLUP	OverallMean	MeanAdj_BLUP
Strain_001	spore_area	-0.841418	50.53983	49.698412
Strain_002	spore_area	-0.895995	50.53983	49.643835
Strain_003	spore_area	0.761549	50.53983	51.301379
Strain_004	spore_area	-0.312347	50.53983	50.227483
Strain_005	spore_area	1.22602	50.53983	51.76585
Strain_006	spore_area	-2.695358	50.53983	47.844472
Strain_007	spore_area	0.586132	50.53983	51.125962
Strain_008	spore_area	-0.610962	50.53983	49.928868
Strain_009	spore_area	1.208307	50.53983	51.748137
Strain_010	spore_area	-0.721841	50.53983	49.817989
Strain_011	spore_area	-0.291168	50.53983	50.248662
Strain_012	spore_area	1.119495	50.53983	51.659325
Strain_013	spore_area	-1.963868	50.53983	48.575962
Strain_014	spore_area	-1.094189	50.53983	49.445642
Strain_015	spore_area	1.253268	50.53983	51.793098
Strain_016	spore_area	-0.851394	50.53983	49.688436
Strain_017	spore_area	1.171883	50.53983	51.711713
Strain_018	spore_area	-0.510368	50.53983	50.029462
Strain_019	spore_area	-0.493029	50.53983	50.046801
Strain_020	spore_area	-0.074527	50.53983	50.465303
Strain_021	spore_area	-0.768743	50.53983	49.771087
Strain_022	spore_area	-1.159622	50.53983	49.380209
Strain_023	spore_area	-3.984559	50.53983	46.555271
Strain_024	spore_area	-0.655741	50.53983	49.88409
Strain_025	spore_area	1.064071	50.53983	51.603901
Strain_026	spore_area	-0.512876	50.53983	50.026954
Strain_027	spore_area	-0.586291	50.53983	49.953539
Strain_028	spore_area	2.477339	50.53983	53.017169
Strain_029	spore_area	-0.183012	50.53983	50.356818
Strain_030	spore_area	-0.108089	50.53983	50.431742
Strain_031	spore_area	1.505112	50.53983	52.044943
Strain_032	spore_area	-1.610542	50.53983	48.929288
Strain_033	spore_area	0.141392	50.53983	50.681222
Strain_034	spore_area	3.094454	50.53983	53.634284
Strain_035	spore_area	-0.472794	50.53983	50.067036
Strain_036	spore_area	2.469708	50.53983	53.009538
Strain_037	spore_area	-3.529011	50.53983	47.010819
Strain_038	spore_area	-1.244973	50.53983	49.294857
Strain_039	spore_area	0.044335	50.53983	50.584166
Strain_040	spore_area	0.74159	50.53983	51.28142
Strain_041	spore_area	0.109091	50.53983	50.648921
Strain_042	spore_area	-1.315838	50.53983	49.223993
Strain_043	spore_area	0.497566	50.53983	51.037396
Strain_044	spore_area	1.39545	50.53983	51.93528
Strain_045	spore_area	0.933395	50.53983	51.473225
Strain_046	spore_area	-2.925592	50.53983	47.614238
Strain_047	spore_area	1.43013	50.53983	51.96996
Strain_048	spore_area	-2.748266	50.53983	47.791564
Strain_049	spore_area	1.114772	50.53983	51.654602
Strain_050	spore_area	3.278159	50.53983	53.817989
Strain_051	spore_area	-0.13861	50.53983	50.40122
Strain_052	spore_area	0.021289	50.53983	50.561119
Strain_053	spore_area	0.328001	50.53983	50.867831
Strain_054	spore_area	1.533869	50.53983	52.0737
Strain_055	spore_area	0.259483	50.53983	50.799313
Strain_056	spore_area	-0.495968	50.53983	50.043862
Strain_057	spore_area	-2.903383	50.53983	47.636448
Strain_058	spore_area	0.21796	50.53983	50.75779
Strain_059	spore_area	1.532133	50.53983	52.071963
