progeny_strain	spore_area	optical_density	batch
L1K3	24.616398	79.12	June1st
L1K7	56.193294	31.7229	June1st
L1K8	35.950561	68.6192	June1st
L1K10	35.885074	67.4304	June1st
L1K11	12.847357	48.3935	June1st
L1M1	34.806372	56.7639	June1st
L1M3	31.044522	43.2663	June1st
L1M4	30.02158	74.0163	June1st
L1M5	19.336236	50.4078	June1st
L1M9	15.910566	33.3955	June1st
L1M10	37.772723	53.0651	June1st
L1M11	52.954657	53.6502	June1st
L1M12	50.368524	69.2918	June1st
L1C1	45.099953	81.3083	June1st
L1C2	25.952043	83.2337	June1st
L1C4	25.535185	80.4693	June1st
L1C5	52.124198	40.6332	June1st
L1C6	34.413754	62.9251	June1st
L1C7	45.873737	74.147	June1st
L1C8	25.536035	32.1278	June1st
L1C9	46.549934	37.4587	June1st
L1C11	48.053792	82.363	June1st
L1C12	29.915899	40.5496	June1st
L1D2	69.197004	69.3582	June1st
L1D3	85.182247	63.4513	June1st
L1D4	32.245558	46.7508	June1st
L1D5	17.306792	31.6882	June1st
L1D6	19.27221	78.8938	June1st
L1D8	29.357069	74.4815	June1st
L1D9	28.922565	67.5171	June1st
L1D11	21.929931	50.1804	June1st
L1D12	21.888817	45.9599	June1st
L1E1	20.152278	75.9108	June1st
L1E6	33.883258	39.5994	June1st
L1E7	32.994264	81.9979	June1st
L1E8	25.093646	64.9854	June1st
L1E9	42.658538	37.3894	June1st
L1E11	28.761688	77.3577	June1st
L1F1	47.888951	31.5358	June1st
L1F2	23.169171	79.7987	June1st
L1F3	29.072531	77.8807	June1st
L1F4	72.603986	59.9088	June1st
L1F5	22.567714	86.8216	June1st
L1F7	26.267509	53.1494	June1st
L1F8	32.593203	32.0958	June1st
L1G3	23.434484	37.4253	June1st
L1G4	32.019594	39.0632	June1st
L1G5	17.328222	71.0167	June1st
L1G6	28.421292	88.7809	June1st
L1G7	74.998075	89.9792	June1st
L1G9	64.5361	39.0739	June1st
L1G10	59.859163	86.47	June1st
L1G11	30.151188	45.0779	June1st
L1H2	21.930491	49.4738	June1st
L1H3	67.828458	68.6075	June1st
L1H5	56.137163	47.9687	June1st
L1H6	30.893221	76.3249	June1st
L1H7	36.320513	64.1835	June1st
L1H8	51.406493	36.4998	June1st
L1H9	60.172914	43.3802	June1st
L1H10	53.57081	70.5412	June1st
L1H11	54.561872	36.5296	June1st
L2K3	29.123777	31.2927	June8th
L2K7	36.428993	32.8262	June8th
L2K8	33.520696	70.5411	June8th
L2K10	21.018317	79.1745	June8th
L2K11	21.11189	82.986	June8th
L2M1	50.873214	88.4053	June8th
L2M2	17.726527	78.8278	June8th
L2M3	31.0784	42.3447	June8th
L2M4	24.067765	37.7319	June8th
L2M5	15.629521	38.7559	June8th
L2M6	28.207883	38.4189	June8th
L2M7	19.121326	75.8124	June8th
L2M8	16.39735	45.4418	June8th
L2M9	25.891553	86.2786	June8th
L2M10	24.340211	87.956	June8th
L2M11	26.917303	78.3707	June8th
L2C2	37.805641	83.941	June8th
L2C3	32.249987	68.6352	June8th
L2C5	42.366736	73.8772	June8th
L2C6	48.688389	48.6959	June8th
L2C7	40.254086	67.1756	June8th
L2C8	23.081279	35.8852	June8th
L2C9	27.849449	60.8593	June8th
L2C10	36.6615	66.933	June8th
L2D2	20.800995	52.0346	June8th
L2D3	28.34627	39.6658	June8th
L2D4	18.978027	48.523	June8th
L2D5	17.891224	57.7521	June8th
L2D6	18.631494	88.7998	June8th
L2D7	21.799099	92.8241	June8th
L2D8	50.947998	57.6978	June8th
L2D11	45.805636	32.761	June8th
L2D12	32.870679	62.5636	June8th
L2E2	20.984354	50.0181	June8th
L2E3	34.886314	59.7619	June8th
L2E6	29.225804	55.767	June8th
L2E7	32.503904	32.4572	June8th
L2E8	41.440197	81.8105	June8th
L2E9	27.527993	72.3773	June8th
L2E10	29.346068	93.2785	June8th
L2E11	50.26643	50.6548	June8th
L2F3	41.82547	59.1634	June8th
L2F5	50.37506	69.0046	June8th
L2F6	27.421234	58.6261	June8th
L2F7	20.528123	89.5312	June8th
L2F8	24.453849	80.2733	June8th
L2F9	20.574571	49.9679	June8th
L2F10	55.674973	31.8779	June8th
L2F11	23.980519	86.7757	June8th
L2F12	31.785547	58.4917	June8th
L2G1	58.133739	41.0254	June8th
L2G2	47.79055	77.9105	June8th
L2G3	53.358165	76.5421	June8th
L2G4	21.24576	75.2275	June8th
L2G5	31.562975	76.9994	June8th
L2G6	28.84435	85.5828	June8th
L2G7	21.224819	66.7018	June8th
L2G8	27.236183	68.2182	June8th
L2G10	28.399497	56.247	June8th
L2G11	29.757349	93.717	June8th
L2G12	22.474623	86.7742	June8th
L2H2	21.459921	42.4606	June8th
L2H3	23.164538	90.4922	June8th
L2H4	38.569187	35.2433	June8th
L2H5	14.205207	31.3654	June8th
L2H6	30.342261	60.7525	June8th
L2H7	45.155484	52.9011	June8th
L2H8	27.999907	73.5392	June8th
L2H9	34.728044	83.9324	June8th
L2H10	21.46492	44.573	June8th
L2H11	27.384336	80.2026	June8th
L3K3	20.732396	58.6692	June15th
L3K7	25.072139	49.1783	June15th
L3K8	42.930501	32.3639	June15th
L3K9	42.669019	67.4192	June15th
L3K10	36.443177	32.6324	June15th
L3K11	28.290626	32.5605	June15th
L3M1	89.146966	67.7463	June15th
L3M2	43.803323	48.1939	June15th
L3M3	19.338893	47.5925	June15th
L3M4	19.422608	80.2883	June15th
L3M5	28.00968	46.8747	June15th
L3M6	43.275164	53.4261	June15th
L3M7	20.470659	83.3641	June15th
L3M8	29.755719	32.3807	June15th
L3M9	18.47898	71.0158	June15th
L3M11	42.090189	33.516	June15th
L3M12	44.009132	79.0065	June15th
L3C1	22.036887	55.2173	June15th
L3C2	26.963051	64.8578	June15th
L3C3	38.620874	41.346	June15th
L3C4	34.087152	69.7228	June15th
L3C5	37.355044	50.7208	June15th
L3C6	23.301416	48.0247	June15th
L3C7	39.117681	86.3365	June15th
L3C8	20.345075	62.5501	June15th
L3C11	25.753097	71.0873	June15th
L3C12	58.148141	77.0462	June15th
L3D1	34.47699	32.0397	June15th
L3D2	26.258155	54.2714	June15th
L3D3	40.898347	92.9534	June15th
L3D4	48.3988	87.6085	June15th
L3D5	32.313314	56.5515	June15th
L3D6	82.883352	82.3152	June15th
L3D7	19.747639	89.8492	June15th
L3D8	24.937307	55.1939	June15th
L3D9	38.571011	73.3111	June15th
L3D10	47.48681	80.5341	June15th
L3D11	26.098598	42.0576	June15th
L3D12	45.151879	54.4509	June15th
L3E1	39.982387	50.6162	June15th
L3E2	55.8043	65.1085	June15th
L3E3	37.568613	43.1146	June15th
L3E4	21.532127	84.4498	June15th
L3E5	56.831942	81.7611	June15th
L3E6	21.584795	74.8338	June15th
L3E7	23.140871	92.406	June15th
L3E8	18.662917	73.3521	June15th
L3E9	26.001811	38.8194	June15th
L3E10	29.835219	91.1866	June15th
L3E11	29.738257	77.6509	June15th
L3E12	36.438845	50.8122	June15th
L3F1	40.015352	79.2797	June15th
L3F2	42.30955	71.2827	June15th
L3F3	21.009911	88.0184	June15th
L3F4	21.32742	71.0853	June15th
L3F5	37.057052	64.3514	June15th
L3F6	18.332004	33.5549	June15th
L3F7	36.20579	40.4066	June15th
L3F8	23.542665	75.9393	June15th
L3F9	27.996689	86.6857	June15th
L3F10	57.412431	74.0982	June15th
L3F11	28.498008	51.947	June15th
L3F12	46.586417	90.0383	June15th
L3G1	42.533178	78.8806	June15th
